Search_method Problem Max_evals Run Score
hill_climber_penalized_score knapPI_13_20_1000_4 10000 33 907
hill_climber_penalized_score knapPI_13_20_1000_4 10000 34 889
hill_climber_penalized_score knapPI_13_20_1000_4 10000 35 890
hill_climber_penalized_score knapPI_13_20_1000_4 10000 36 890
hill_climber_penalized_score knapPI_13_20_1000_4 10000 37 889
hill_climber_penalized_score knapPI_13_20_1000_4 10000 38 907
hill_climber_penalized_score knapPI_13_20_1000_4 10000 39 907
hill_climber_penalized_score knapPI_13_20_1000_4 10000 40 889
hill_climber_penalized_score knapPI_13_20_1000_4 10000 41 889
hill_climber_penalized_score knapPI_13_20_1000_4 10000 42 889
hill_climber_penalized_score knapPI_13_20_1000_4 10000 43 881
hill_climber_penalized_score knapPI_13_20_1000_4 10000 44 889
hill_climber_penalized_score knapPI_13_20_1000_4 10000 45 889
hill_climber_penalized_score knapPI_13_20_1000_4 10000 46 907
hill_climber_penalized_score knapPI_13_20_1000_4 10000 47 889
hill_climber_penalized_score knapPI_13_20_1000_4 10000 48 889
hill_climber_penalized_score knapPI_13_20_1000_4 10000 49 907
hill_climber_penalized_score knapPI_16_20_1000_4 10000 0 2893
hill_climber_penalized_score knapPI_16_20_1000_4 10000 1 2893
hill_climber_penalized_score knapPI_16_20_1000_4 10000 2 2893
hill_climber_penalized_score knapPI_16_20_1000_4 10000 3 2893
hill_climber_penalized_score knapPI_16_20_1000_4 10000 4 2893
hill_climber_penalized_score knapPI_16_20_1000_4 10000 5 2893
hill_climber_penalized_score knapPI_16_20_1000_4 10000 6 2893
hill_climber_penalized_score knapPI_16_20_1000_4 10000 7 2557
hill_climber_penalized_score knapPI_16_20_1000_4 10000 8 2893
hill_climber_penalized_score knapPI_16_20_1000_4 10000 9 2557
hill_climber_penalized_score knapPI_16_20_1000_4 10000 10 2893
hill_climber_penalized_score knapPI_16_20_1000_4 10000 11 2893
hill_climber_penalized_score knapPI_16_20_1000_4 10000 12 2893
hill_climber_penalized_score knapPI_16_20_1000_4 10000 13 2893
hill_climber_penalized_score knapPI_16_20_1000_4 10000 14 2542
hill_climber_penalized_score knapPI_16_20_1000_4 10000 15 2682
hill_climber_penalized_score knapPI_16_20_1000_4 10000 16 2893
hill_climber_penalized_score knapPI_16_20_1000_4 10000 17 2893
hill_climber_penalized_score knapPI_16_20_1000_4 10000 18 2893
hill_climber_penalized_score knapPI_16_20_1000_4 10000 19 2893
hill_climber_penalized_score knapPI_16_20_1000_4 10000 20 2593
hill_climber_penalized_score knapPI_16_20_1000_4 10000 21 2593
hill_climber_penalized_score knapPI_16_20_1000_4 10000 22 2893
hill_climber_penalized_score knapPI_16_20_1000_4 10000 23 2682
hill_climber_penalized_score knapPI_16_20_1000_4 10000 24 2593
hill_climber_penalized_score knapPI_16_20_1000_4 10000 25 2893
hill_climber_penalized_score knapPI_16_20_1000_4 10000 26 2593
hill_climber_penalized_score knapPI_16_20_1000_4 10000 27 2597
hill_climber_penalized_score knapPI_16_20_1000_4 10000 28 2893
hill_climber_penalized_score knapPI_16_20_1000_4 10000 29 2893
hill_climber_penalized_score knapPI_16_20_1000_4 10000 30 2675
